ID,Date,Close/Last,Volume,Open,High,Low
1117,04/06/2020,65.6175,201820280,62.725,65.7775,62.345
1118,04/03/2020,60.3525,129880080,60.70,61.425,59.7435
1119,04/02/2020,61.2325,165933960,60.085,61.2875,59.225
1120,04/01/2020,60.2275,176218560,61.625,62.18,59.7825
1121,03/31/2020,63.5725,197002000,63.90,65.6225,63.00
1122,03/30/2020,63.7025,167976440,62.685,63.88,62.35
1123,03/27/2020,61.935,204216600,63.1875,63.9675,61.7625
1124,03/26/2020,64.61,252560680,61.63,64.67,61.59
1125,03/25/2020,61.38,303602040,62.6875,64.5625,61.075
1126,03/24/2020,61.72,287531080,59.09,61.9225,58.575
1127,03/23/2020,56.0925,336752840,57.02,57.1249,53.1525
1128,03/20/2020,57.31,401693200,61.795,62.9575,57.00
1129,03/19/2020,61.195,271857040,61.8462,63.21,60.6525
1130,03/18/2020,61.6675,300233640,59.9425,62.50,59.28
1131,03/17/2020,63.215,324055880,61.8775,64.4025,59.60
1132,03/16/2020,60.5525,322423480,60.4875,64.77,60.00
1133,03/13/2020,69.4925,370732120,66.2225,69.98,63.2375
1134,03/12/2020,62.0575,418474000,63.985,67.50,62.00
1135,03/11/2020,68.8575,256379880,69.3475,70.305,67.965
1136,03/10/2020,71.335,285290080,69.285,71.61,67.3425
1137,03/09/2020,66.5425,286744840,65.9375,69.5225,65.75
1138,03/06/2020,72.2575,226177000,70.50,72.705,70.3075
1139,03/05/2020,73.23,187572880,73.88,74.8875,72.8525
1140,03/04/2020,75.685,219178280,74.11,75.85,73.2825
1141,03/03/2020,72.33,319475400,75.9175,76.00,71.45
1142,03/02/2020,74.7025,341397360,70.57,75.36,69.43
1143,02/28/2020,68.34,426884800,64.315,69.6025,64.0925
1144,02/27/2020,68.38,320605520,70.275,71.50,68.24
1145,02/26/2020,73.1625,198713720,71.6325,74.47,71.625
1146,02/25/2020,72.02,230673440,75.2375,75.6325,71.5325
1147,02/24/2020,74.545,222195320,74.315,76.045,72.3075
1148,02/21/2020,78.2625,129705680,79.655,80.1125,77.625
1149,02/20/2020,80.075,100565960,80.6575,81.1625,79.5525
1150,02/19/2020,80.905,93983960,80.00,81.1425,80.00
1151,02/18/2020,79.75,152762200,78.84,79.9375,78.6525
1152,02/14/2020,81.2375,80113800,81.185,81.495,80.7125
1153,02/13/2020,81.2175,94747560,81.0475,81.555,80.8375
1154,02/12/2020,81.80,113730280,80.3675,81.805,80.3675
1155,02/11/2020,79.9025,94323120,80.90,80.975,79.6775
1156,02/10/2020,80.3875,109348880,78.545,80.3875,78.4625
1157,02/07/2020,80.0075,117684040,80.5925,80.85,79.50
1158,02/06/2020,81.3025,105425560,80.6425,81.305,80.0662
1159,02/05/2020,80.3625,118826880,80.88,81.19,79.7375
1160,02/04/2020,79.7125,136616520,78.8275,79.91,78.4086
1161,02/03/2020,77.165,173985600,76.075,78.3725,75.555
1162,01/31/2020,77.3775,199588400,80.2325,80.67,77.0725
1163,01/30/2020,80.9675,126743240,80.136,81.0225,79.6875
1164,01/29/2020,81.085,216599720,81.1125,81.9625,80.345
1165,01/28/2020,79.4225,162233960,78.15,79.60,78.0475
1166,01/27/2020,77.2375,161940040,77.515,77.9425,76.22
1167,01/24/2020,79.5775,146537520,80.0625,80.8325,79.3797
1168,01/23/2020,79.8075,104471960,79.48,79.89,78.9125
1169,01/22/2020,79.425,101832480,79.645,79.9975,79.3275
1170,01/21/2020,79.1425,110843240,79.2975,79.755,79.00
1171,01/17/2020,79.6825,137816480,79.0675,79.685,78.75
1172,01/16/2020,78.81,108829000,78.3975,78.925,78.0225
1173,01/15/2020,77.835,121923520,77.9625,78.875,77.3875
1174,01/14/2020,78.17,162613840,79.175,79.3925,78.0425
1175,01/13/2020,79.24,122086880,77.91,79.2675,77.7875
